number,value,datetime_start,datetime_complete,duration,params_augm,params_balance,params_batch_size,params_cls_arch,params_dropout,params_hidden_dim,params_lr,params_lr_scheduler,params_optimizer,params_oversample,params_wd,state,split
19,0.8395633971291866,2025-03-26 17:29:52.631975,2025-03-26 17:32:21.967055,0 days 00:02:29.335080,14,True,128,simple,,,0.0005022148658806,True,adam,False,0.006777245416484,COMPLETE,0
19,0.8561865328820116,2025-03-26 18:13:14.993870,2025-03-26 18:15:58.155372,0 days 00:02:43.161502,3,True,32,simple,,,0.0007420484987937,False,adam,False,0.000312513491152,COMPLETE,1
14,0.807363557036332,2025-03-26 18:47:41.313851,2025-03-26 18:50:42.888454,0 days 00:03:01.574603,34,True,16,simple,,,0.0002079532413834,True,adam,False,0.0004568462804258,COMPLETE,2
3,0.87421679197995,2025-03-26 19:05:01.285846,2025-03-26 19:07:42.978699,0 days 00:02:41.692853,45,True,32,simple,,,0.0007149374872274,True,adam,False,0.0004372932534312,COMPLETE,3
11,0.8527221018418202,2025-03-26 19:56:52.836579,2025-03-26 19:59:26.403326,0 days 00:02:33.566747,1,True,64,complex,0.4850920327988685,512.0,0.0097937719059157,False,sgd,True,0.0001142742366751,COMPLETE,4
17,0.7932587064676616,2025-03-26 20:34:22.537193,2025-03-26 20:36:53.149420,0 days 00:02:30.612227,3,False,128,simple,,,0.000219971883187,False,adam,False,0.0053015787340158,COMPLETE,5
19,0.8647530630289251,2025-03-26 21:05:22.631906,2025-03-26 21:08:26.162141,0 days 00:03:03.530235,5,False,16,simple,,,0.000101887888748,True,adam,False,0.0007386112995825,COMPLETE,6
16,0.8206164853474469,2025-03-26 21:40:09.587154,2025-03-26 21:43:12.464867,0 days 00:03:02.877713,34,False,16,complex,0.1429591994388154,512.0,0.0002221924576152,True,adam,False,0.000296459964069,COMPLETE,7
14,0.7953666216824111,2025-03-26 22:06:24.379764,2025-03-26 22:09:06.741258,0 days 00:02:42.361494,3,True,32,simple,,,0.0004081745903797,False,adam,True,0.000339025460612,COMPLETE,8
10,0.8718890848520479,2025-03-26 22:29:23.202765,2025-03-26 22:32:28.069898,0 days 00:03:04.867133,5,True,16,simple,,,0.0001005048871963,True,adam,True,0.0001003076114388,COMPLETE,9
2,0.8428907168037602,2025-03-26 22:57:19.542976,2025-03-26 22:59:54.639866,0 days 00:02:35.096890,4,True,64,complex,0.2338216995325822,320.0,0.0001234129879286,False,adam,True,0.0018556624076787,COMPLETE,10
14,0.774470338983051,2025-03-26 23:47:29.807508,2025-03-26 23:50:10.336334,0 days 00:02:40.528826,3,False,32,complex,0.4917585043090337,512.0,0.0002758804430064,False,adam,True,0.003536740690297,COMPLETE,11
2,0.8128294328484083,2025-03-27 00:03:41.541245,2025-03-27 00:06:45.842899,0 days 00:03:04.301654,0,True,16,complex,0.3491766526560349,256.0,0.0001140826256962,True,adam,True,0.0057522507012122,COMPLETE,12
8,0.8378760062138116,2025-03-27 00:36:49.937198,2025-03-27 00:39:49.395170,0 days 00:02:59.457972,34,False,16,simple,,,0.0001392717763116,False,adam,False,0.006459529813935,COMPLETE,13
19,0.8279246794871795,2025-03-27 01:15:11.766586,2025-03-27 01:16:32.972288,0 days 00:01:21.205702,34,False,64,simple,,,0.0003776890138046,False,adam,False,0.0005177065386227,COMPLETE,14
7,0.773534997287032,2025-03-27 01:23:32.155175,2025-03-27 01:25:03.649283,0 days 00:01:31.494108,0,False,16,simple,,,0.0001089155961482,False,adam,False,0.0002620693930125,COMPLETE,15
6,0.8525184351956007,2025-03-27 01:35:41.044049,2025-03-27 01:37:09.414276,0 days 00:01:28.370227,45,True,16,simple,,,0.0003486957008311,True,adam,False,0.0001117330008294,COMPLETE,16
1,0.7585757707338255,2025-03-27 01:47:40.214200,2025-03-27 01:49:03.487026,0 days 00:01:23.272826,3,True,32,simple,,,0.0060680420850956,False,sgd,True,0.0092216887956736,COMPLETE,17
1,0.8069772091163534,2025-03-27 01:57:52.484264,2025-03-27 01:59:14.467999,0 days 00:01:21.983735,12,False,128,complex,0.4100296709266997,448.0,0.0001898803157707,True,adam,True,0.0044579769301155,COMPLETE,18
16,0.8446477096273292,2025-03-27 02:28:17.543610,2025-03-27 02:29:38.126226,0 days 00:01:20.582616,34,True,64,simple,,,0.0002774186743079,True,adam,True,0.0021944169352349,COMPLETE,19
