number,value,datetime_start,datetime_complete,duration,params_augm,params_balance,params_batch_size,params_cls_arch,params_dropout,params_hidden_dim,params_lr,params_lr_scheduler,params_optimizer,params_oversample,params_wd,state
0,0.751873453517144,2025-04-24 11:15:26.594694,2025-04-24 11:16:49.057436,0 days 00:01:22.462742,0,True,128,complex,0.3897877742950899,320.0,0.0018787574748320036,False,sgd,True,0.006253842252222338,COMPLETE
1,0.7963061152350654,2025-04-24 11:16:49.058152,2025-04-24 11:18:15.464523,0 days 00:01:26.406371,4,False,32,simple,,,0.0004666594516951206,False,sgd,False,0.0012359938277024742,COMPLETE
2,0.8063980205019441,2025-04-24 11:18:15.465151,2025-04-24 11:19:57.558542,0 days 00:01:42.093391,3,True,16,complex,0.28263935477421687,192.0,0.0003350003444378843,False,adam,True,0.00820424554542247,COMPLETE
3,0.7333156592435489,2025-04-24 11:19:57.559206,2025-04-24 11:21:21.017676,0 days 00:01:23.458470,3,False,64,complex,0.1378388239720129,448.0,0.0002499704479846687,True,sgd,False,0.004113558324182001,COMPLETE
4,0.7726581831035702,2025-04-24 11:21:21.018339,2025-04-24 11:22:47.754797,0 days 00:01:26.736458,5,False,128,complex,0.36780636648393866,64.0,0.0007492389488940724,False,adam,True,0.00257834273982586,COMPLETE
5,0.5056645457758926,2025-04-24 11:22:47.755468,2025-04-24 11:22:53.964319,0 days 00:00:06.208851,2,True,32,complex,0.17515396485280849,192.0,0.004069051248416934,False,adam,False,0.001872620815584169,PRUNED
6,0.7877695298692118,2025-04-24 11:22:53.964830,2025-04-24 11:24:21.347454,0 days 00:01:27.382624,45,True,64,complex,0.2911334284800026,192.0,0.009770614331477318,False,sgd,True,0.0002847634036053094,COMPLETE
7,0.583881230116649,2025-04-24 11:24:21.348228,2025-04-24 11:24:29.329740,0 days 00:00:07.981512,12,False,32,complex,0.4907756423189006,320.0,0.003065594464658433,False,adam,True,0.004108298679433897,PRUNED
8,0.4962000706963592,2025-04-24 11:24:29.330201,2025-04-24 11:24:35.287039,0 days 00:00:05.956838,1,False,128,simple,,,0.00022683520088207586,True,sgd,False,0.0009825823512551557,PRUNED
9,0.8027925061859315,2025-04-24 11:24:35.287493,2025-04-24 11:26:14.165880,0 days 00:01:38.878387,5,True,16,simple,,,0.0006026205407605467,False,adam,False,0.0026307891209779192,COMPLETE
10,0.7858253799929305,2025-04-24 11:26:14.166618,2025-04-24 11:27:55.300483,0 days 00:01:41.133865,3,True,16,simple,,,0.00016726862309299437,True,adam,True,0.0094432635077415,COMPLETE
11,0.8177447861435136,2025-04-24 11:27:55.301149,2025-04-24 11:29:34.178973,0 days 00:01:38.877824,14,True,16,simple,,,0.0005501630417545426,False,adam,False,0.0005218024172895782,COMPLETE
12,0.7874867444326618,2025-04-24 11:29:34.179602,2025-04-24 11:32:08.171253,0 days 00:02:33.991651,14,True,16,simple,,,0.00011059961352724226,False,adam,True,0.0003426397961544302,COMPLETE
13,0.6602686461647226,2025-04-24 11:32:08.171886,2025-04-24 11:32:21.918270,0 days 00:00:13.746384,14,True,16,simple,,,0.0012856075877076835,False,adam,False,0.00013894170313164425,PRUNED
14,0.795775892541534,2025-04-24 11:32:21.918780,2025-04-24 11:35:45.642043,0 days 00:03:23.723263,34,True,16,complex,0.013260602313383052,64.0,0.0003527924491804855,True,adam,False,0.0005754373688051122,COMPLETE
15,0.8162601626016261,2025-04-24 11:35:45.642778,2025-04-24 11:39:10.914837,0 days 00:03:25.272059,3,True,16,simple,,,0.0010505530491242854,False,adam,True,0.0005596286293767184,COMPLETE
16,0.5597207493814069,2025-04-24 11:39:10.915465,2025-04-24 11:39:25.062470,0 days 00:00:14.147005,14,True,16,simple,,,0.0010777055864015412,False,adam,False,0.0005278877293119103,PRUNED
17,0.4688052315305762,2025-04-24 11:39:25.062963,2025-04-24 11:39:41.696490,0 days 00:00:16.633527,4,True,16,simple,,,0.0019393246479420816,False,adam,True,0.00012620911294633928,PRUNED
18,0.5932484977023683,2025-04-24 11:39:41.696978,2025-04-24 11:39:54.071838,0 days 00:00:12.374860,1,True,64,simple,,,0.0007508310415437478,True,adam,False,0.0002453065165434375,PRUNED
19,0.5848709791445741,2025-04-24 11:39:54.072297,2025-04-24 11:40:10.147468,0 days 00:00:16.075171,0,True,16,simple,,,0.0046871831488700085,False,adam,True,0.000708383642116098,PRUNED
